Country,Date Range,Segment,Users
Mozambique,"Jan 1, 2023 - Jun 30, 2023",All Users,3
Mozambique,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Mozambique,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
U.S. Virgin Islands,"Jan 1, 2023 - Jun 30, 2023",All Users,3
U.S. Virgin Islands,"Jan 1, 2023 - Jun 30, 2023",With /es/,1
U.S. Virgin Islands,"Jan 1, 2023 - Jun 30, 2023",Without /es/,3
Botswana,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Botswana,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Botswana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Curaçao,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Curaçao,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Curaçao,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Guernsey,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Guernsey,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Guernsey,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Jamaica,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Jamaica,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Jamaica,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Cayman Islands,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Cayman Islands,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Cayman Islands,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Macao,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Macao,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Macao,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Palestine,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Palestine,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Palestine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Réunion,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Réunion,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Réunion,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Senegal,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Senegal,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Senegal,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Trinidad & Tobago,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Trinidad & Tobago,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Trinidad & Tobago,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Kosovo,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Kosovo,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Kosovo,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Zambia,"Jan 1, 2023 - Jun 30, 2023",All Users,2
Zambia,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Zambia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,2
Afghanistan,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Afghanistan,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Afghanistan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Antigua & Barbuda,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Antigua & Barbuda,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Antigua & Barbuda,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
Barbados,"Jan 1, 2023 - Jun 30, 2023",All Users,1
Barbados,"Jan 1, 2023 - Jun 30, 2023",With /es/,0
Barbados,"Jan 1, 2023 - Jun 30, 2023",Without /es/,1
