Country,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value),,,
Taiwan,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Taiwan,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51,50,72,0.00%,3.42,00:00:24,0.00%,0,$0.00,,,
Vietnam,"Jan 1, 2023 - Jun 30, 2023",All Users,48,46,52,0.00%,3.58,00:00:46,0.00%,0,$0.00,,,
Vietnam,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Vietnam,"Jan 1, 2023 - Jun 30, 2023",Without /es/,48,46,52,0.00%,3.58,00:00:46,0.00%,0,$0.00,,,
United Arab Emirates,"Jan 1, 2023 - Jun 30, 2023",All Users,47,46,62,0.00%,4.35,00:01:03,0.00%,0,$0.00,,,
United Arab Emirates,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
United Arab Emirates,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,46,62,0.00%,4.35,00:01:03,0.00%,0,$0.00,,,
Ecuador,"Jan 1, 2023 - Jun 30, 2023",All Users,45,45,54,0.00%,4.39,00:01:50,0.00%,0,$0.00,,,
Ecuador,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,16,16,18,0.00%,4.83,00:02:20,0.00%,0,$0.00,,,
Ecuador,"Jan 1, 2023 - Jun 30, 2023",Without /es/,29,29,36,0.00%,4.17,00:01:35,0.00%,0,$0.00,,,
Czechia,"Jan 1, 2023 - Jun 30, 2023",All Users,43,41,80,0.00%,5.71,00:05:56,0.00%,0,$0.00,,,
Czechia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Czechia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,43,41,80,0.00%,5.71,00:05:56,0.00%,0,$0.00,,,
Hungary,"Jan 1, 2023 - Jun 30, 2023",All Users,42,39,76,0.00%,4.07,00:01:02,0.00%,0,$0.00,,,
Hungary,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,0,1,0.00%,45,00:23:10,0.00%,0,$0.00,,,
Hungary,"Jan 1, 2023 - Jun 30, 2023",Without /es/,41,39,75,0.00%,3.52,00:00:45,0.00%,0,$0.00,,,
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",All Users,41,41,43,2.33%,4.21,00:01:49,0.00%,0,$0.00,,,
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Bulgaria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,41,41,43,2.33%,4.21,00:01:49,0.00%,0,$0.00,,,
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",All Users,39,37,49,0.00%,3.24,00:00:21,0.00%,0,$0.00,,,
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Saudi Arabia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,38,36,48,0.00%,3.25,00:00:21,0.00%,0,$0.00,,,
Egypt,"Jan 1, 2023 - Jun 30, 2023",All Users,38,36,54,0.00%,4.72,00:01:51,0.00%,0,$0.00,,,
Egypt,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Egypt,"Jan 1, 2023 - Jun 30, 2023",Without /es/,38,36,54,0.00%,4.72,00:01:51,0.00%,0,$0.00,,,
Lithuania,"Jan 1, 2023 - Jun 30, 2023",All Users,33,33,37,0.00%,4.05,00:01:44,0.00%,0,$0.00,,,
Lithuania,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00,,,
Lithuania,"Jan 1, 2023 - Jun 30, 2023",Without /es/,32,32,36,0.00%,4.08,00:01:47,0.00%,0,$0.00,,,
Nigeria,"Jan 1, 2023 - Jun 30, 2023",All Users,33,32,36,0.00%,4,00:00:46,0.00%,0,$0.00,,,
Nigeria,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00,,,
Nigeria,"Jan 1, 2023 - Jun 30, 2023",Without /es/,33,32,36,0.00%,4,00:00:46,0.00%,0,$0.00,,,
Thailand,"Jan 1, 2023 - Jun 30, 2023",All Users,33,33,40,0.00%,4.05,00:01:19,0.00%,0,$0.00,,,
Thailand,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,18,00:00:46,0.00%,0,$0.00,,,
Thailand,"Jan 1, 2023 - Jun 30, 2023",Without /es/,32,32,39,0.00%,3.69,00:01:19,0.00%,0,$0.00,,,
