Region,Date Range,Segment,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,CoreText - PDF Viewed (Goal 1 Conversion Rate),CoreText - PDF Viewed (Goal 1 Completions),CoreText - PDF Viewed (Goal 1 Value)
South Carolina,"Jan 1, 2023 - Jun 30, 2023",All Users,98,90,105,0.00%,3.64,00:00:33,0.00%,0,$0.00
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,9,00:01:23,0.00%,0,$0.00
South Carolina,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97,89,104,0.00%,3.59,00:00:32,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",All Users,97,94,102,0.98%,3.41,00:00:41,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Oklahoma,"Jan 1, 2023 - Jun 30, 2023",Without /es/,97,94,102,0.98%,3.41,00:00:41,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",All Users,95,83,102,0.00%,4.25,00:00:42,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,1,2,0.00%,7.5,00:00:42,0.00%,0,$0.00
Nevada,"Jan 1, 2023 - Jun 30, 2023",Without /es/,93,82,100,0.00%,4.18,00:00:42,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",All Users,69,61,73,1.37%,4.25,00:00:50,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Kentucky,"Jan 1, 2023 - Jun 30, 2023",Without /es/,69,61,73,1.37%,4.25,00:00:50,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",All Users,66,63,75,0.00%,3.55,00:00:34,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Utah,"Jan 1, 2023 - Jun 30, 2023",Without /es/,66,63,75,0.00%,3.55,00:00:34,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",All Users,54,49,62,0.00%,3.58,00:00:29,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
Arkansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53,48,61,0.00%,3.59,00:00:29,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",All Users,53,51,60,0.00%,4.15,00:00:50,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Louisiana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,53,51,60,0.00%,4.15,00:00:50,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",All Users,52,48,53,0.00%,3.51,00:00:04,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,21,00:02:27,0.00%,0,$0.00
Kansas,"Jan 1, 2023 - Jun 30, 2023",Without /es/,51,47,52,0.00%,3.17,00:00:01,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",All Users,48,43,54,0.00%,6.69,00:01:38,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,3,00:00:00,0.00%,0,$0.00
District of Columbia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,42,53,0.00%,6.75,00:01:39,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",All Users,47,44,49,0.00%,3.61,00:01:19,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Montana,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,44,49,0.00%,3.61,00:01:19,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",All Users,47,43,48,0.00%,5.06,00:01:22,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
West Virginia,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,43,48,0.00%,5.06,00:01:22,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",All Users,47,47,49,0.00%,3.59,00:00:19,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Wyoming,"Jan 1, 2023 - Jun 30, 2023",Without /es/,47,47,49,0.00%,3.59,00:00:19,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",All Users,45,38,45,0.00%,4.11,00:01:37,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,2,1,2,0.00%,4.5,00:00:02,0.00%,0,$0.00
Idaho,"Jan 1, 2023 - Jun 30, 2023",Without /es/,43,37,43,0.00%,4.09,00:01:41,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",All Users,38,37,38,0.00%,3.68,00:00:34,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
New Hampshire,"Jan 1, 2023 - Jun 30, 2023",Without /es/,38,37,38,0.00%,3.68,00:00:34,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",All Users,36,35,43,0.00%,4.88,00:00:53,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Rhode Island,"Jan 1, 2023 - Jun 30, 2023",Without /es/,36,35,43,0.00%,4.88,00:00:53,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",All Users,35,31,38,0.00%,3.71,00:00:28,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Maine,"Jan 1, 2023 - Jun 30, 2023",Without /es/,35,31,38,0.00%,3.71,00:00:28,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",All Users,31,26,32,0.00%,4.38,00:00:56,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Mississippi,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31,26,32,0.00%,4.38,00:00:56,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",All Users,31,31,54,0.00%,5.39,00:01:11,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,0,1,0.00%,9,00:09:35,0.00%,0,$0.00
New Mexico,"Jan 1, 2023 - Jun 30, 2023",Without /es/,31,31,53,0.00%,5.32,00:01:02,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",All Users,29,28,35,0.00%,4,00:01:20,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Nebraska,"Jan 1, 2023 - Jun 30, 2023",Without /es/,29,28,35,0.00%,4,00:01:20,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",All Users,27,27,28,0.00%,4.18,00:00:45,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,0,0,0,0.00%,0,00:00:00,0.00%,0,$0.00
Vermont,"Jan 1, 2023 - Jun 30, 2023",Without /es/,27,27,28,0.00%,4.18,00:00:45,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",All Users,23,23,25,0.00%,3.36,00:00:06,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,12,00:02:01,0.00%,0,$0.00
Hawaii,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22,22,24,0.00%,3,00:00:02,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",All Users,23,23,23,0.00%,3.52,00:00:22,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Spanish Website,1,1,1,0.00%,6,00:07:26,0.00%,0,$0.00
South Dakota,"Jan 1, 2023 - Jun 30, 2023",Without /es/,22,22,22,0.00%,3.41,00:00:02,0.00%,0,$0.00
